x_value,total_1,total_2
0,1000,1000
1,998,1002
2,1003,1008
3,997,1009
4,991,1006
5,992,1010
6,999,1007
7,1007,1006
8,1013,1012
9,1007,1013
10,1001,1018
11,1000,1017
12,997,1021
13,1002,1019
14,997,1015
15,992,1014
16,993,1020
17,999,1026
18,1004,1022
19,1005,1027
20,999,1022
21,1006,1021
22,1005,1023
23,1007,1022
24,1004,1024
25,999,1022
26,1003,1024
27,999,1024
28,998,1021
29,1005,1025
30,1006,1031
31,1003,1031
32,999,1027
33,1007,1024
34,1013,1019
35,1011,1018
36,1012,1013
37,1009,1008
38,1015,1013
39,1022,1013
40,1026,1015
41,1021,1020
42,1018,1015
43,1012,1021
44,1018,1016
45,1018,1015
46,1012,1018
47,1020,1020
48,1028,1024
49,1031,1024
50,1032,1020
51,1029,1025
52,1037,1031
53,1036,1030
54,1039,1034
55,1035,1032
56,1038,1038
57,1040,1043
58,1036,1040
59,1038,1040
60,1040,1045
61,1044,1048
62,1048,1052
63,1055,1056
64,1053,1051
65,1054,1054
66,1060,1051
67,1067,1054
68,1074,1059
69,1081,1060
70,1075,1059
71,1079,1061
72,1075,1061
73,1070,1061
74,1068,1062
75,1062,1057
76,1069,1055
77,1077,1053
78,1071,1054
79,1079,1051
80,1086,1057
